trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.1292497,,0.0239912,10,0.1292497,0.1292497,0.0938986,2.6997899,[0.1625],[0.045],[1],[0],[0],[2.605439899954945],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
1,0,1,0,2.7620463,,2.7086584,5,2.7620463,2.7620463,0.0333605,4.737637,[-0.04875],[-0.135],[1],[0],[0],[1.9954814002849162],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
2,0,2,0,4.8788177,,4.7588225,5,4.8788177,4.8788177,0.0954525,6.8004109,[-0.29375],[-0.46625],[1],[0],[0],[1.948867500294],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
3,0,3,0,6.8951446,,6.8182528,5,6.8951446,6.8951446,0.0524499,8.8321896,[0.25125],[-0.39875],[1],[0],[0],[1.9635885995812714],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
4,0,4,0,8.9610774,,8.84872,10,8.9610774,8.9610774,0.0774175,10.4795554,[0.0375],[-0.2475],[1],[0],[0],[1.5565491002053022],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
5,0,5,0,10.5630408,,10.4867074,5,10.5630408,10.5630408,0.038324,12.4479435,[-0.435],[0.36875],[1],[0],[0],[1.9233651999384165],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
6,0,6,0,12.5435951,,12.4619999,5,12.5435951,12.5435951,0.0537724,14.6484708,[0.035],[-0.455],[1],[0],[0],[2.1358670997433364],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
7,0,7,0,14.7599998,,14.6653357,10,14.7599998,14.7599998,0.0619329,16.4452502,[-0.15],[-0.175],[1],[0],[0],[1.7188197998329997],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
8,0,8,0,16.5592687,,16.4541846,10,16.5592687,16.5592687,0.0662224,18.8616119,[0.2625],[-0.30625],[1],[0],[0],[2.3421249999664724],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
9,0,9,0,18.941899,,18.8702464,5,18.941899,18.941899,0.0431323,20.8773428,[-0.12625],[0.25],[1],[0],[0],[1.9653507000766695],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
10,0,10,0,20.941102,,20.8845425,5,20.941102,20.941102,0.0407051,22.8608571,[0.4725],[0.27],[1],[0],[0],[1.936370000243187],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
11,0,11,0,23.0243399,,22.874448,10,23.0243399,23.0243399,0.1032689,26.2785399,[-0.20875],[0.20375],[1],[0],[0],[3.3034537001512945],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
12,0,12,0,26.4400594,,26.2967562,10,26.4400594,26.4400594,0.0959104,29.3095711,[-0.1875],[-0.28125],[1],[0],[0],[2.920175200328231],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
13,0,13,0,29.3896309,,29.3181216,5,29.3896309,29.3896309,0.0446277,31.4434698,[0.26625],[0.345],[1],[0],[0],[2.0812037996947765],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
14,0,14,0,31.55574,,31.4587937,5,31.55574,31.55574,0.0671823,33.5417548,[0.31875],[0.24875],[1],[0],[0],[2.0184070002287626],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
15,0,15,0,33.671901,,33.5547885,10,33.671901,33.671901,0.0891396,35.2744222,[-0.2675],[-0.41875],[1],[0],[0],[1.6336480001918972],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
16,0,16,0,35.3386472,,35.2813725,5,35.3386472,35.3386472,0.0301245,37.2413129,[0.20125],[0.3325],[1],[0],[0],[1.930371900089085],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
17,0,17,0,37.3709947,,37.253006,10,37.3709947,37.3709947,0.0954705,39.4228009,[-0.2725],[-0.02625],[1],[0],[0],[2.077030499931425],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
18,0,18,0,39.5370188,,39.4318846,10,39.5370188,39.5370188,0.0791618,41.5055308,[0.11375],[-0.3625],[1],[0],[0],[1.9957849001511931],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
19,0,19,0,41.5698936,,41.5126077,5,41.5698936,41.5698936,0.0356081,43.6720237,[0.45375],[0.31875],[1],[0],[0],[2.124456299934536],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
20,0,20,0,43.7692037,,43.6796918,10,43.7692037,43.7692037,0.0617034,46.4714432,[-0.25],[-0.44],[1],[0],[0],[2.730831699911505],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
21,0,21,0,46.6021982,,46.4801928,10,46.6021982,46.6021982,0.0903744,49.1037216,[-0.40375],[0.43],[1],[0],[0],[2.534551499877125],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
22,0,22,0,49.2181743,,49.1111416,10,49.2181743,49.2181743,0.0693058,51.2400414,[0.24875],[0.45],[1],[0],[0],[2.06006950000301],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
23,0,23,0,51.3340226,,51.2638575,5,51.3340226,51.3340226,0.0509353,52.521174,[0.0925],[0.415],[1],[0],[0],[1.208785300143063],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
24,0,24,0,52.6334454,,52.5351508,5,52.6334454,52.6334454,0.0644349,54.5562595,[0.48125],[0.08],[1],[0],[0],[1.9593873000703752],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
25,0,25,0,54.6837958,,54.570048,10,54.6837958,54.6837958,0.0769378,56.5566986,[0.2575],[0.4925],[1],[0],[0],[1.9110993999056518],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
26,0,26,0,56.6831076,,56.5773568,5,56.6831076,56.6831076,0.0929681,58.6714273,[-0.21375],[-0.33625],[1],[0],[0],[2.0036618998274207],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
27,0,27,0,58.7659976,,58.6842142,5,58.7659976,58.7659976,0.0539142,60.5522163,[0.4375],[0.425],[1],[0],[0],[1.8156723999418318],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
28,0,28,0,60.6652526,,60.5654267,5,60.6652526,60.6652526,0.0684599,62.3525472,[0.10375],[-0.005],[1],[0],[0],[1.7213551998138428],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
29,0,29,0,62.4650111,,62.367158,5,62.4650111,62.4650111,0.0655921,64.2384561,[-0.475],[0.4125],[1],[0],[0],[1.8072951999492943],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
30,0,30,0,64.3320028,,64.2524746,5,64.3320028,64.3320028,0.0530559,65.7507942,[0.3275],[0.2525],[1],[0],[0],[1.4469940001145005],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
31,0,31,0,65.8809981,,65.7644016,10,65.8809981,65.8809981,0.0710909,67.6181119,[-0.2475],[0.25625],[1],[0],[0],[1.7863438003696501],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
32,0,32,0,67.6973138,,67.6296976,5,67.6973138,67.6973138,0.0380934,69.433694,[0.095],[-0.0175],[1],[0],[0],[1.7683941000141203],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
33,0,33,0,69.5633343,,69.4469536,10,69.5633343,69.5633343,0.0798867,71.6981871,[-0.3925],[-0.1875],[1],[0],[0],[2.174952700268477],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
34,0,34,0,71.8127371,,71.7056463,10,71.8127371,71.8127371,0.0689504,73.1557,[-0.02375],[0.1725],[1],[0],[0],[1.3804479003883898],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
35,0,35,0,73.2793446,,73.1837737,5,73.2793446,73.2793446,0.0789647,74.499793,[0.2675],[0.3025],[1],[0],[0],[1.2430418999865651],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
36,0,36,0,74.628239,,74.5110976,10,74.628239,74.628239,0.0873304,77.9133923,[0.09125],[-0.145],[1],[0],[0],[3.3173512001521885],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
37,0,37,0,78.011161,,77.9203973,10,78.011161,78.011161,0.0665038,79.4464999,[0.2075],[0.31125],[1],[0],[0],[1.4603677997365594],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
38,0,38,0,79.5302911,,79.4541679,5,79.5302911,79.5302911,0.0421412,80.8292814,[-0.19],[0.32625],[1],[0],[0],[1.3341292003169656],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
39,0,39,0,80.9435289,,80.837083,10,80.9435289,80.9435289,0.0654654,83.2114305,[0.28875],[-0.11],[1],[0],[0],[2.311030900105834],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
40,0,40,0,83.2764217,,83.218745,5,83.2764217,83.2764217,0.0325962,84.6498346,[0.1075],[0.4475],[1],[0],[0],[1.3998018000274897],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
41,0,41,0,84.7264549,,84.6600968,5,84.7264549,84.7264549,0.0363371,85.9109287,[0.27875],[0.3425],[1],[0],[0],[1.2163994000293314],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
42,0,42,0,86.0090698,,85.916916,10,86.0090698,86.0090698,0.0625204,89.8942794,[0.48],[0.19625],[1],[0],[0],[3.915760099887848],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
43,0,43,0,89.975553,,89.9030104,5,89.975553,89.975553,0.0488985,91.5967522,[-0.47875],[0.165],[1],[0],[0],[1.6457211002707481],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
44,0,44,0,91.7084746,,91.6102762,5,91.7084746,91.7084746,0.0681128,93.7127771,[-0.0275],[0.46125],[1],[0],[0],[2.0368025000207126],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
45,0,45,0,93.7905258,,93.7253458,5,93.7905258,93.7905258,0.0412822,95.57693,[0.23125],[-0.24875],[1],[0],[0],[1.8120566997677088],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
46,0,46,0,95.6902177,,95.5893733,5,95.6902177,95.6902177,0.0701645,97.9117289,[-0.37],[-0.14125],[1],[0],[0],[2.253982299938798],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
47,0,47,0,98.0230624,,97.9306569,5,98.0230624,98.0230624,0.0627802,100.0260274,[-0.09125],[-0.28],[1],[0],[0],[2.0351220001466572],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
48,0,48,0,100.106063,,100.0394791,5,100.106063,100.106063,0.049117,101.8254957,[0.2075],[0.06625],[1],[0],[0],[1.740327600389719],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
49,0,49,0,101.9723266,,101.8406999,10,101.9723266,101.9723266,0.1014792,103.6114246,[0.41375],[0.33125],[1],[0],[0],[1.6738879000768065],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
50,0,50,0,103.7210797,,103.6336428,5,103.7210797,103.7210797,0.0570669,105.2586455,[0.29625],[0.07375],[1],[0],[0],[1.5714726001024246],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
51,0,51,0,105.3381233,,105.2721899,5,105.3381233,105.3381233,0.044159,106.5748574,[0.22375],[0.07375],[1],[0],[0],[1.262243699748069],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
52,0,52,0,106.7210905,,106.5896371,10,106.7210905,106.7210905,0.0991446,108.1153773,[0.07125],[0.39],[1],[0],[0],[1.4276638999581337],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
53,0,53,0,108.2871406,,108.1426026,10,108.2871406,108.2871406,0.1141455,111.2717484,[0.4625],[0.2675],[1],[0],[0],[3.0202342998236418],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
54,0,54,0,111.3361997,,111.2770658,5,111.3361997,111.3361997,0.0282729,112.6898937,[-0.04625],[0.39],[1],[0],[0],[1.3846680000424385],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
55,0,55,0,112.7690885,,112.7034045,5,112.7690885,112.7690885,0.048118,114.2240261,[0.205],[0.1575],[1],[0],[0],[1.4758017999120057],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
56,0,56,0,114.3525334,,114.2379578,10,114.3525334,114.3525334,0.0708527,115.6049507,[0.19375],[0.39875],[1],[0],[0],[1.2981556002050638],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
57,0,57,0,115.6851092,,115.6169023,5,115.6851092,115.6851092,0.0548691,117.4890234,[-0.31125],[0.1025],[1],[0],[0],[1.8196236998774111],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
58,0,58,0,117.6297837,,117.5068908,10,117.6297837,117.6297837,0.0746971,121.7764207,[-0.3375],[0.44625],[1],[0],[0],[4.1967162997461855],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
59,0,59,0,121.9172396,,121.8018566,10,121.9172396,121.9172396,0.0902485,124.4207052,[0.38375],[-0.11],[1],[0],[0],[2.532947199884802],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
60,0,60,0,124.549745,,124.4344345,10,124.549745,124.549745,0.0789025,126.5364494,[-0.04875],[0.47625],[1],[0],[0],[2.0259277001023293],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
61,0,61,0,126.6493071,,126.5445816,10,126.6493071,126.6493071,0.0690909,130.1730256,[-0.38],[-0.08875],[1],[0],[0],[3.55952259991318],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
62,0,62,0,130.3320935,,130.1985196,10,130.3320935,130.3320935,0.1078684,132.5166325,[0.26],[-0.21375],[1],[0],[0],[2.2148698000237346],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
63,0,63,0,132.6481753,,132.5226261,10,132.6481753,132.6481753,0.097654,134.9216372,[-0.0975],[-0.3325],[1],[0],[0],[2.3012695000506938],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
64,0,64,0,135.0975788,,134.9422341,10,135.0975788,135.0975788,0.1217467,137.3493485,[0.4375],[0.17625],[1],[0],[0],[2.289582199882716],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
65,0,65,0,137.4299576,,137.3572811,5,137.4299576,137.4299576,0.0446316,139.3219467,[0.25875],[-0.29375],[1],[0],[0],[1.919973500072956],['target'],425233,1,2024-10-10_18h57.00.230,untitled,2024.1.5,None,2024-10-10 18h57.06.835661 +0530
